BOOKING_ID,USER_ID,PROPERTY_CODE,BOOKING_DATE,CHECK_IN_DATE,CHECK_OUT_DATE,ROOMS,NIGHTS,ROOM_NIGHTS,REVENUE_DOLLAR
942481721995472,2382984,MAL0084,2024-04-19 00:00:00,2024-04-19 00:00:00,2024-04-20 00:00:00,2,1,2,15.03
859896400600792,8922581,SUR0320,2024-07-21 00:00:00,2024-07-22 00:00:00,2024-07-23 00:00:00,3,1,3,14.85
863313142099180,11027905,SUR0381,2021-05-29 00:00:00,2021-06-05 00:00:00,2021-06-06 00:00:00,1,1,1,17.88
815705055066134,6964446,BAN0082,2022-03-31 00:00:00,2022-04-05 00:00:00,2022-04-07 00:00:00,1,3,3,27.92
257574986800513,1387674,BAN0482,2021-06-08 00:00:00,2021-06-14 00:00:00,2021-06-17 00:00:00,1,2,2,22.57
817112324403993,5360954,YOG0230,2021-10-16 00:00:00,2021-10-16 00:00:00,2021-10-18 00:00:00,2,2,4,15.96
145203502906782,6513487,SUR0193,2024-07-11 00:00:00,2024-07-16 00:00:00,2024-07-18 00:00:00,3,3,9,16.41
739223667988506,8388334,YOG0290,2023-07-05 00:00:00,2023-07-12 00:00:00,2023-07-14 00:00:00,2,1,2,29.77
140198017747998,2620641,MAL0108,2023-05-08 00:00:00,2023-05-08 00:00:00,2023-05-09 00:00:00,3,3,9,16.52
432211030999226,8317995,SUR0338,2020-06-09 00:00:00,2020-06-09 00:00:00,2020-06-12 00:00:00,1,3,3,18.29
818096080611584,5932052,YOG0245,2022-03-31 00:00:00,2022-03-31 00:00:00,2022-04-01 00:00:00,1,1,1,23.81
276038410326334,3884205,MAL0356,2023-06-22 00:00:00,2023-06-27 00:00:00,2023-06-30 00:00:00,1,1,1,11.77
901936374711049,7938606,BAN0291,2023-09-23 00:00:00,2023-09-23 00:00:00,2023-09-25 00:00:00,2,3,6,19.32
255414448601928,8849326,SUR0120,2021-10-23 00:00:00,2021-10-28 00:00:00,2021-10-29 00:00:00,1,1,1,25.15
491085306976968,14540550,MAL0117,2023-06-16 00:00:00,2023-06-17 00:00:00,2023-06-18 00:00:00,1,1,1,18.90
617812341182526,8971301,BAN0140,2022-03-19 00:00:00,2022-03-19 00:00:00,2022-03-21 00:00:00,2,3,6,11.53
974157536315846,2657636,MAL0281,2024-01-15 00:00:00,2024-01-19 00:00:00,2024-01-20 00:00:00,3,3,9,10.15
549004829855089,5993308,MAL0044,2022-06-08 00:00:00,2022-06-12 00:00:00,2022-06-13 00:00:00,2,3,6,12.46
740104889693100,10133837,JAK0163,2023-05-20 00:00:00,2023-05-25 00:00:00,2023-05-26 00:00:00,2,3,6,16.30
841180045726017,14996393,YOG0242,2020-05-29 00:00:00,2020-06-04 00:00:00,2020-06-05 00:00:00,1,1,1,25.35
933383714280718,13112580,SUR0203,2022-04-25 00:00:00,2022-04-28 00:00:00,2022-04-30 00:00:00,1,2,2,11.88
836413656777282,9753188,SUR0028,2020-06-23 00:00:00,2020-06-28 00:00:00,2020-06-30 00:00:00,1,1,1,19.68
625987484421356,13431838,BAN0122,2023-09-05 00:00:00,2023-09-07 00:00:00,2023-09-09 00:00:00,3,2,6,10.45
227887608913325,12627249,JAK0075,2022-08-20 00:00:00,2022-08-21 00:00:00,2022-08-22 00:00:00,3,1,3,26.90
645165246914191,4750142,SUR0116,2023-06-21 00:00:00,2023-06-24 00:00:00,2023-06-25 00:00:00,3,3,9,19.76
472493630226464,10326050,BAN0379,2021-11-07 00:00:00,2021-11-13 00:00:00,2021-11-14 00:00:00,1,3,3,28.11
927922353117893,4320696,JAK0163,2020-09-07 00:00:00,2020-09-07 00:00:00,2020-09-08 00:00:00,3,2,6,16.27
719036179303099,7938606,BAN0385,2024-01-30 00:00:00,2024-01-30 00:00:00,2024-02-01 00:00:00,3,2,6,10.46
